temp(c),pressure(mb),humidity(),cloud cover(),wind speed(mph),wind dir.,precip.(mm)
29,999,85,70,9,11,0
28,998,87,59,10,11,0.3
27,997,89,62,9,11,1
27,998,88,96,9,11,1.7
30,1000,79,77,11,12,2.1
33,999,68,53,10,12,0.8
34,999,66,49,9,13,1.7
32,999,74,47,8,12,5.6
29,1001,80,51,7,12,5.7
29,1001,84,51,5,11,3
28,1000,86,52,4,9,3.8
28,1001,86,71,8,8,3.5
29,1003,80,87,11,13,5.5
32,1003,70,84,9,14,2.9
34,1002,69,67,5,12,2.9
32,1003,80,55,6,5,0.7
30,1004,88,37,7,7,0.6
29,1004,88,57,6,6,1.4
27,1003,88,64,6,6,1
27,1004,89,53,6,5,2
30,1006,80,74,4,5,4.2
35,1004,62,64,2,9,1.1
36,1002,57,72,3,13,1.1
34,1002,66,60,5,12,1
31,1003,77,32,5,13,3.2
30,1002,80,52,4,12,3.4
29,1001,84,55,6,13,1.8
30,1002,82,51,7,12,0.1
33,1003,68,57,8,13,0.7
34,1001,63,64,10,13,2.4
35,999,63,45,10,14,3.5
33,999,70,20,8,14,3.6
31,1000,77,21,6,13,1.2
30,999,79,26,6,13,1.3
30,998,79,40,5,12,1.4
30,999,74,44,6,12,0.3
34,1001,61,47,9,13,0.5
36,999,54,63,10,14,1
36,997,58,23,10,14,1.6
35,997,65,8,6,14,0.1
32,998,70,28,3,13,0.4
31,998,75,44,4,11,2.3
30,997,81,60,5,12,3.6
31,998,78,52,4,13,0.8
35,1000,64,34,3,12,1.5
36,998,58,50,5,4,3.5
36,996,56,84,4,4,1.2
35,996,66,59,5,4,1.2
32,997,78,28,7,6,2.4
30,997,82,13,6,5,0.1
29,997,84,7,7,5,0
30,998,80,25,9,6,0.2
33,1000,68,39,12,6,0.3
36,999,59,52,12,6,0
35,998,59,35,11,6,0
33,999,68,9,11,5,0
30,1000,73,26,11,5,0
30,1001,76,31,9,6,0
29,1001,81,36,9,5,0
30,1002,79,36,11,5,0
33,1004,64,57,15,6,0
36,1002,54,63,14,5,0.1
36,1000,54,64,13,5,0.1
